case_id,case_kind,a_scalar_hex,b_scalar_hex,seed_x,seed_y,expected_x,expected_y,actual_x,actual_y,status
phase_a_half_order,structured,7fffffffffffffffffffffffffffffff5d576e7357a4501ddfe92f46681b20a0,0000000000000000000000000000000000000000000000000000000000000000,4eae6d5e42c46fc446ad65093ac76d069740dfb222c917756634518714d2414c,260af896ca11fe7321470752ec9eb436f1f063f220999abfeeff9b2b57285150,00000000000000000000003b78ce563f89a0ed9414f5aa28ad0d96d6795f9c63,3f3979bf72ae8202983dc989aec7f2ff2ed91bdd69ce02fc0700ca100e59ddf3,00000000000000000000003b78ce563f89a0ed9414f5aa28ad0d96d6795f9c63,3f3979bf72ae8202983dc989aec7f2ff2ed91bdd69ce02fc0700ca100e59ddf3,PASS
phase_b_half_order,structured,0000000000000000000000000000000000000000000000000000000000000000,7fffffffffffffffffffffffffffffff5d576e7357a4501ddfe92f46681b20a0,INF,INF,85fc7e667538295907570402ad838419f9000da7cd19244ddbe429cf1d7eb657,b07d094f9190245d79a6123cc2ff74fbc349cc7ff541fb7f442ea1e8309e4e86,85fc7e667538295907570402ad838419f9000da7cd19244ddbe429cf1d7eb657,b07d094f9190245d79a6123cc2ff74fbc349cc7ff541fb7f442ea1e8309e4e86,PASS
phase_a_order_minus_one,structured,fffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0364140,0000000000000000000000000000000000000000000000000000000000000000,eb9d054a59fb6fb898d6cc0b2208f68ca46217716bcc815aa08dac6691b1fb5c,927bbf7fb4887437820c047bc68a04659144fa3b1d1ba6ba2bc43a262767347d,79be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f81798,b7c52588d95c3b9aa25b0403f1eef75702e84bb7597aabe663b82f6f04ef2777,79be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f81798,b7c52588d95c3b9aa25b0403f1eef75702e84bb7597aabe663b82f6f04ef2777,PASS
phase_b_order_minus_one,structured,0000000000000000000000000000000000000000000000000000000000000000,fffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0364140,INF,INF,d225e3da037f1188412ab612d27080a7e6f07deb2288c82174f66854532d39ac,abc8e8dc44751f18d903daf9e47e06864c91e3a191a932340718a9f2b635b0df,d225e3da037f1188412ab612d27080a7e6f07deb2288c82174f66854532d39ac,abc8e8dc44751f18d903daf9e47e06864c91e3a191a932340718a9f2b635b0df,PASS
random_0000,random,829d808bd58e604a97fdf0bb3262cf8370be0604cf17e43d1a4dd51f98733bad,4a77b62fda8b773dd2daa17617107d6c8afd667acf8ffbd83d2fb8168982fb54,1319c7a62f3959b4cfee1223b225c6e909070753a1ad33d88f3a8b78a886f7da,d8a75f9db8266ea42b6502656b6c0ee97f3598d63d149ad69a5829e2f3c29085,6f154ad683ede0c41dd13f4294f03240752a0a5f53679f038b66107feda538e0,6e7d8f21530de409e3b7df8a412a77ea4cff824e7adfdd266267e4bdbc1fb7b8,6f154ad683ede0c41dd13f4294f03240752a0a5f53679f038b66107feda538e0,6e7d8f21530de409e3b7df8a412a77ea4cff824e7adfdd266267e4bdbc1fb7b8,PASS
random_0001,random,0e842d88ceaeb12fbc49ba7e4f9096a487f166f04f7fd1f900a44cbb10757132,42d8c532a1373660ea8ed39cea7e399c5cec4c553033f8208ffe391276f99694,542712e39cd1e31b8a1f566ea046bc185aa76bf21b73363d17bfd5e6d6f0c4b9,8c7797727e3a533ff86160ea0ab4cd13597a365a5c83792e14d37cf5b132e2eb,802626faaae50138fa0a983cbf8f6a1fbb6eb1883487060a64157809260277bf,d282992854f207d50144bbec5cddc1abe3988159cfecc1ff2f60d6492296f3da,802626faaae50138fa0a983cbf8f6a1fbb6eb1883487060a64157809260277bf,d282992854f207d50144bbec5cddc1abe3988159cfecc1ff2f60d6492296f3da,PASS
random_0002,random,e5bb4ee4573e72091eb746eaccad9bfa528f417fe568a97e70f439c14f583cd2,4f88823a594971fbb9ab60bdeec9cc749fbd5a2988bd30c3a4666274736d49cf,94c07e9065624fce3dff5edd26c7e502ee6f63bceaf7b2c12a4d1e917a9f820f,d24ed1da01f35a9cae5e76a55daa55d5c1c77e88161fffc27aec7b572fc9b8f4,685b537f682f889faf1bdbfef6c7d50fe0b10e4a366f2637fe12e15cefa3458f,e1881aeb972c52d9be5355f4b37242b639c705b3cafc6c1312571af611e2e09d,685b537f682f889faf1bdbfef6c7d50fe0b10e4a366f2637fe12e15cefa3458f,e1881aeb972c52d9be5355f4b37242b639c705b3cafc6c1312571af611e2e09d,PASS
random_0003,random,cabb48ce2fc9692a822a48b1d79a88679ab3fe3b9dca977907937e551c9a1cc8,0e67472c7ab0ea6a1c824c808a8150070b14cd5a068e4239df227da0c831ab67,c9f14886458a6db63da0041ef17659892a46fc7e3cbcd4f01a3934388fae12f0,f96c567f96417739eca77928865b5d6a5202c5700465d6eacbf37e9158f6c433,30a14f0a3e343cd35ea4c06d7baace26d6c6c8c60c389567c5fb8d93a68c4a52,6b13016f9101f55202f52f04524fa4e353cc0e8e902598dce966ba0dda2e25bf,30a14f0a3e343cd35ea4c06d7baace26d6c6c8c60c389567c5fb8d93a68c4a52,6b13016f9101f55202f52f04524fa4e353cc0e8e902598dce966ba0dda2e25bf,PASS
random_0004,random,fa3b54473b81628e3ba25392d96440a7f9ca22a53a15ec1c38bb2a992241d809,8fca7dfc16cd1284b118ae6aa8e9399cc3b7521cc21e43731b8ed670ae8cab8e,dcb05b3620d04d3c4a96055790c10a42f1bc28b48299413c023b000208fdd974,ca46d1eee1f02494dd3696812ef34e0b2450447c446914cd4e98f7d2f7369fb8,c6be1274db33828f17f595b4439fed4c917bfd19a5394beaa1615154edad2fff,ecf86f108370dd6f2d451fb03374f57aecb5873d41c683c8798a15abe92f981b,c6be1274db33828f17f595b4439fed4c917bfd19a5394beaa1615154edad2fff,ecf86f108370dd6f2d451fb03374f57aecb5873d41c683c8798a15abe92f981b,PASS
random_0005,random,955ce5b7df1db40b52e5e8941e103f34920f1b4178ac458855743e5c4c1dcf05,da99c4eb45d096d6ed15e249cb2e4b18746a084ebfc26f902d63bbbd530cce15,829d18c4423178426bed68389f59d34e278d5d441e88bc763dfbe3fd657c791e,1526d63b5607517fcaa57ead0a305cc40286aa65cd7adeba3059543cca4de50f,66fd970f885dc179908524469842377fe4c9688a282ffa3e1deab17d9b86d90d,8dfa8a94668c908ee0c8d8918a72bef71d796633608b71eb441347f504963ce7,66fd970f885dc179908524469842377fe4c9688a282ffa3e1deab17d9b86d90d,8dfa8a94668c908ee0c8d8918a72bef71d796633608b71eb441347f504963ce7,PASS
